IdOp100,SN,Type,DateStart,OCV,ACIR,InsuP,InsuN,TC1,TC2,VC1,VC2,VC3,VC4,VC5,VC6,RefLimite,IniFileVers,SoftVers,ImageVers,Pass,Operateur,TempsTest,TFactory
736,0B5MEVA001A45JC9W0000002,3551,"2023-05-03 11:31:00",23.35,3.1,9999,9999,23,22,3893,3889,3893,3892,3890,3892,1,1,1,1,1,Carrousel,0,0
737,0B5MEVA001A45JC9X0000384,3551,"2023-05-03 11:31:30",23.35,3.15,9999,9999,22,22,3892,3893,3890,3893,3894,3892,1,1,1,1,1,Carrousel,0,0
738,0B5MEVA001A45JC9X0000409,3551,"2023-05-03 11:31:56",23.35,3.13,9999,9999,22,22,3893,3893,3892,3890,3892,3892,1,1,1,1,1,Carrousel,0,0
739,0B5MEVA001A45JC9V0000220,3551,"2023-05-03 11:32:30",23.4,3.13,9999,9999,22,22,3894,3901,3900,3900,3900,3900,1,1,1,1,1,Carrousel,0,0
740,0B5MEVA001A45JC9V0000009,3551,"2023-05-03 11:33:21",23.37,3.09,9999,9999,22,22,3895,3895,3895,3896,3892,3895,1,1,1,1,1,Carrousel,0,0
741,0B5MEVA001A45JC9T0000075,3551,"2023-05-03 11:33:47",23.38,3.08,9999,9999,22,22,3898,3894,3896,3896,3893,3894,1,1,1,1,1,Carrousel,0,0
742,0B5MEVA001A45JC9X0000193,3551,"2023-05-03 11:34:35",23.35,3.12,9999,9999,22,22,3890,3893,3892,3890,3890,3888,1,1,1,1,1,Carrousel,0,0
743,0B5MEVA001A45JC9T0000192,3551,"2023-05-03 11:35:07",23.38,3.09,9999,9999,22,22,3900,3894,3898,3898,3896,3896,1,1,1,1,1,Carrousel,0,0
744,0B5MEVA001A45JC9T0000099,3551,"2023-05-03 11:36:12",23.38,3.08,9999,9999,22,22,3896,3895,3896,3895,3895,3896,1,1,1,1,1,Carrousel,0,0
745,0B5MEVA001A45JC9X0000479,3551,"2023-05-03 11:38:34",23.37,3.09,9999,9999,22,22,3898,3895,3894,3895,3895,3895,1,1,1,1,1,Carrousel,0,0
746,0B5MEVA001A45JC9X0000198,3551,"2023-05-03 11:39:49",23.38,3.07,9999,9999,22,22,3898,3895,3895,3900,3896,3894,1,1,1,1,1,Carrousel,0,0
747,0B5MEVA001A45JC9X0000269,3551,"2023-05-03 11:40:46",23.37,3.07,9999,9999,22,22,3896,3895,3893,3896,3895,3895,1,1,1,1,1,Carrousel,0,0
748,0B5MEVA001A45JC9V0000358,3551,"2023-05-03 11:41:32",23.38,3.08,9999,9999,22,22,3895,3896,3896,3895,3895,3895,1,1,1,1,1,Carrousel,0,0
749,0B5MEVA001A45JC9V0000361,3551,"2023-05-03 11:43:18",23.38,3.07,9999,9999,22,22,3896,3895,3894,3895,3895,3896,1,1,1,1,1,Carrousel,0,0
750,0B5MEVA001A45JC9X0000525,3551,"2023-05-03 11:43:38",23.37,3.1,9999,9999,22,22,3896,3895,3895,3894,3894,3896,1,1,1,1,1,Carrousel,0,0
751,0B5MEVA001A45JC9X0000416,3551,"2023-05-03 11:45:02",23.38,3.09,9999,9999,22,22,3900,3895,3895,3894,3895,3896,1,1,1,1,1,Carrousel,0,0
752,0B5MEVA001A45JC9X0000406,3551,"2023-05-03 15:55:17",23.38,3.08,9999,9999,24,23,3899,3893,3895,3895,3896,3895,1,1,1,1,1,Carrousel,0,0
753,0B5MEVA001A45JC9X0000382,3551,"2023-05-03 15:55:45",23.38,3.1,9999,9999,24,23,3901,3894,3895,3894,3896,3894,1,1,1,1,1,Carrousel,0,0
754,0B5MEVA001A45JC9T0000161,3551,"2023-05-03 15:56:11",23.38,3.12,9999,9999,24,23,3896,3898,3898,3899,3894,3896,1,1,1,1,1,Carrousel,0,0
755,0B5MEVA001A45JC9X0000483,3551,"2023-05-03 15:56:56",23.36,3.07,9999,9999,23,23,3894,3894,3893,3892,3894,3893,1,1,1,1,1,Carrousel,0,0
756,0B5MEVA001A45JC9T0000162,3551,"2023-05-03 15:57:58",23.37,3.08,9999,9999,23,23,3895,3894,3894,3896,3894,3896,1,1,1,1,1,Carrousel,0,0
757,0B5MEVA001A45JC9V0000273,3551,"2023-05-03 15:58:22",23.37,3.08,9999,9999,23,23,3895,3894,3893,3893,3893,3893,1,1,1,1,1,Carrousel,0,0
758,0B5MEVA001A45JC9V0000272,3551,"2023-05-03 15:59:00",23.37,3.09,9999,9999,23,23,3896,3892,3894,3898,3893,3895,1,1,1,1,1,Carrousel,0,0
759,0B5MEVA001A45JC9T0000052,3551,"2023-05-03 16:00:37",23.38,3.07,9999,9999,24,23,3896,3896,3895,3895,3895,3895,1,1,1,1,1,Carrousel,0,0
760,0B5MEVA001A45JC9V0000026,3551,"2023-05-03 16:10:20",23.38,3.08,9999,9999,23,23,3898,3896,3895,3895,3895,3896,1,1,1,1,1,Carrousel,0,0
