;;;;;;;;;;;;;;;;;;;;Moyenne;Variance;Ecart type;;m‚diance;;;;;;;
;;IdOp100;SN;Colonne2;Type;DateStart;OCV;ACIR;InsuP;InsuN;TC1;TC2;VC1;VC2;VC3;VC4;VC5;VC6;VC7;23.37;0.000277097;0.016646243;;23.37;;;;;;;
23.29;9.789878366;1741;0B5MEVA001A45JC9V0000380;139;3551;30/06/2023 14:29;23.35;2.52;9999;9999;24;23;3890;3892;3890;3892;3892;3892;0;;;;9.789878366;;1;2;3;4;5;6;
23.31;18.26094097;1740;0B5MEVA001A45JC9V0000393;363;3551;30/06/2023 14:29;23.36;2.51;9999;9999;23;23;3895;3894;3893;3890;3893;3893;0;;;;18.26094097;;23.387;23.403;23.420;23.437;23.453;23.470;
23.31;18.26094097;1739;0B5MEVA001A45JC9V0000367;362;3551;30/06/2023 14:28;23.36;2.52;9999;9999;24;24;3890;3893;3893;3892;3890;3894;0;;;;18.26094097;;23.353;23.337;23.320;23.303;23.287;23.270;
23.31;9.789878366;1738;0B5MEVA001A45JC9V0000303;138;3551;30/06/2023 14:27;23.35;2.5;9999;9999;24;24;3893;3892;3893;3892;3892;3890;0;23.365;25;;9.789878366;;;;;;;;
23.31;18.26094097;1737;0B5MEVA001A45JC9W0000005;361;3551;30/06/2023 14:27;23.36;2.53;9999;9999;24;24;3894;3894;3892;3892;3894;3894;0;23.380;25;;18.26094097;;;;;;;;
23.31;9.789878366;1736;0B5MEVA001A45JC9V0000315;137;3551;30/06/2023 14:05;23.35;2.49;9999;9999;24;24;3892;3892;3893;3892;3890;3892;0;;;;9.789878366;;;;;;;;
23.32;9.789878366;1735;0B5MEVA001A45JC9V0000399;136;3551;30/06/2023 14:04;23.35;2.49;9999;9999;24;24;3892;3892;3890;3892;3892;3892;0;;;;9.789878366;;;;;;;;
23.33;9.789878366;1734;0B5MEVA001A45JC9V0000146;135;3551;30/06/2023 14:04;23.35;2.49;9999;9999;24;24;3893;3894;3893;3892;3889;3892;0;;;;9.789878366;;;;;;;;
23.33;9.789878366;1733;0B5MEVA001A45JC9V0000283;134;3551;30/06/2023 14:03;23.35;2.5;9999;9999;24;24;3892;3892;3893;3893;3892;3892;0;;;;9.789878366;;;;;;;;
23.33;9.789878366;1732;0B5MEVA001A45JC9W0000298;133;3551;30/06/2023 14:02;23.35;2.49;9999;9999;24;24;3890;3892;3890;3892;3892;3890;0;;;;9.789878366;;;;;;;;
23.34;9.789878366;1731;0B5MEVA001A45JC9W0000011;132;3551;30/06/2023 13:58;23.35;2.53;9999;9999;24;23;3890;3893;3892;3890;3890;3892;0;;;;9.789878366;;;;;;;;
23.34;0.953006546;1730;0B5MEVA001A45JC9W0000087;10;3551;30/06/2023 13:58;23.33;2.53;9999;9999;24;23;3889;3888;3888;3887;3889;3887;0;;;;0.953006546;;;;;;;;
23.34;18.26094097;1729;0B5MEVA001A45JC9W0000019;360;3551;30/06/2023 13:57;23.36;2.56;9999;9999;23;23;3896;3893;3893;3893;3892;3893;0;;;;18.26094097;;;;;;;;
23.34;3.658487198;1728;0B5MEVA001A45JC9W0000001;24;3551;30/06/2023 13:56;23.34;2.53;9999;9999;24;24;3892;3890;3888;3889;3887;3888;0;;;;3.658487198;;;;;;;;
23.34;9.789878366;1727;0B5MEVA001A45JC9V0000410;131;3551;30/06/2023 13:56;23.35;2.51;9999;9999;23;23;3894;3892;3893;3893;3889;3889;0;;;;9.789878366;;;;;;;;
23.34;9.789878366;1726;0B5MEVA001A45JC9V0000356;130;3551;30/06/2023 13:49;23.35;2.49;9999;9999;24;24;3890;3890;3893;3892;3890;3892;0;;;;9.789878366;;;;;;;;
23.34;3.658487198;1725;0B5MEVA001A45JC9W0000025;23;3551;30/06/2023 13:49;23.34;2.53;9999;9999;24;24;3888;3889;3890;3889;3889;3888;0;;;;3.658487198;;;;;;;;
23.34;9.789878366;1724;0B5MEVA001A45JC9T0000101;129;3551;30/06/2023 13:47;23.35;2.51;9999;9999;23;24;3892;3890;3895;3892;3889;3889;0;;;;9.789878366;;;;;;;;
23.34;9.789878366;1723;0B5MEVA001A45JC9X0000447;128;3551;30/06/2023 13:46;23.35;2.52;9999;9999;23;23;3893;3888;3892;3898;3890;3889;0;;;;9.789878366;;;;;;;;
23.34;18.26094097;1722;0B5MEVA001A45JC9V0000170;359;3551;30/06/2023 13:46;23.36;2.49;9999;9999;23;23;3893;3893;3893;3893;3894;3893;0;;;;18.26094097;;;;;;;;
23.34;18.26094097;1721;0B5MEVA001A45JC9T0000118;358;3551;30/06/2023 13:45;23.36;2.52;9999;9999;23;23;3892;3892;3892;3895;3894;3893;0;;;;18.26094097;;;;;;;;
23.34;9.789878366;1720;0B5MEVA001A45JC9X0000485;127;3551;30/06/2023 11:46;23.35;2.5;9999;9999;23;23;3892;3892;3892;3889;3890;3892;0;;;;9.789878366;;;;;;;;
23.34;18.26094097;1719;0B5MEVA001A45JC9V0000128;357;3551;30/06/2023 11:45;23.36;2.53;9999;9999;23;23;3896;3889;3893;3893;3894;3893;0;;;;18.26094097;;;;;;;;
23.34;9.789878366;1718;0B5MEVA001A45JC9V0000368;126;3551;30/06/2023 11:44;23.35;2.5;9999;9999;23;23;3893;3893;3892;3892;3893;3892;0;;;;9.789878366;;;;;;;;
